13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UZ (mm)
10237  ;-10  ;2,79282  ;7,86686  ;-7,34002e-07
456  ;-10  ;3,48084  ;7,35996  ;-7,34012e-07
6872  ;-10  ;5,65484  ;6,42709  ;-7,34131e-07
6608  ;-10  ;4,34441  ;6,42529  ;-7,34177e-07
6496  ;-10  ;6,76108  ;7,80898  ;-7,34217e-07
420  ;-10  ;8,09821  ;8,18807  ;-7,34243e-07
9373  ;-10  ;5,92788  ;6,82939  ;-7,34280e-07
10355  ;-10  ;3,24042  ;7,81396  ;-7,34329e-07
6891  ;-10  ;4,07274  ;6,82744  ;-7,34343e-07
421  ;-10  ;1,89895  ;8,18914  ;-7,34406e-07
9372  ;-10  ;6,03412  ;7,34525  ;-7,34501e-07
6905  ;-10  ;0,434705  ;8,24165  ;-7,34525e-07
8057  ;-10  ;3,96875  ;7,35008  ;-7,34577e-07
8785  ;-10  ;6,26108  ;7,80898  ;-7,34618e-07
6795  ;-10  ;7,54911  ;8,22801  ;-7,34624e-07
1889  ;-10  ;9,55871  ;8,30471  ;-7,34624e-07
10351  ;-10  ;3,74042  ;7,81396  ;-7,34677e-07
465  ;-10  ;5  ;6,5359  ;-7,34690e-07
10238  ;-10  ;2,44948  ;8,22854  ;-7,34774e-07
454  ;-10  ;5,54608  ;7,3405  ;-7,34886e-07
426  ;-10  ;7  ;8,26795  ;-7,34907e-07
455  ;-10  ;4,45667  ;7,34021  ;-7,34911e-07
10104  ;-10  ;5,77304  ;7,80422  ;-7,34929e-07
10696  ;-10  ;5,27304  ;6,9382  ;-7,34944e-07
10352  ;-10  ;4,22833  ;7,80408  ;-7,34965e-07
6892  ;-10  ;4,72833  ;6,93805  ;-7,34967e-07
9147  ;-10  ;1,38418  ;8,33621  ;-7,34972e-07
422  ;-10  ;3  ;8,26795  ;-7,35025e-07
8784  ;-10  ;6,5  ;8,26795  ;-7,35057e-07
6546  ;-10  ;5,27304  ;7,80422  ;-7,35081e-07
9780  ;-10  ;8,60782  ;8,39874  ;-7,35087e-07
6544  ;-10  ;4,72833  ;7,80408  ;-7,35094e-07
6545  ;-10  ;5,00138  ;7,34035  ;-7,35105e-07
9334  ;-10  ;3,5  ;8,26795  ;-7,35140e-07
427  ;-10  ;6  ;8,26795  ;-7,35190e-07
424  ;-10  ;4  ;8,26795  ;-7,35215e-07
11038  ;-10  ;4,5  ;8,26795  ;-7,35256e-07
423  ;-10  ;5  ;8,26795  ;-7,35261e-07
10095  ;-10  ;5,5  ;8,26795  ;-7,35306e-07
1885  ;-10  ;10  ;8,5  ;-7,35716e-07
384  ;-10  ;0,86941  ;8,48329  ;-7,35726e-07
10094  ;-10  ;5,25  ;8,70096  ;-7,35810e-07
11286  ;-10  ;4,75  ;8,70096  ;-7,35821e-07
10096  ;-10  ;5,75  ;8,70096  ;-7,35841e-07
8798  ;-10  ;4,25  ;8,70096  ;-7,35913e-07
11328  ;-10  ;0  ;8,5  ;-7,35935e-07
11085  ;-10  ;6,25  ;8,70096  ;-7,35949e-07
8797  ;-10  ;3,75  ;8,70096  ;-7,35996e-07
9259  ;-10  ;6,75  ;8,70096  ;-7,36024e-07
9271  ;-10  ;7,79911  ;8,66102  ;-7,36152e-07
9333  ;-10  ;3,25  ;8,70096  ;-7,36156e-07
385  ;-10  ;9,11742  ;8,60942  ;-7,36162e-07
9260  ;-10  ;7,25  ;8,70096  ;-7,36175e-07
10552  ;-10  ;2,19438  ;8,65848  ;-7,36254e-07
10346  ;-10  ;2,7449  ;8,69789  ;-7,36278e-07
9667  ;-10  ;8,28422  ;8,67172  ;-7,36334e-07
11152  ;-10  ;1,64724  ;8,66493  ;-7,36492e-07
410  ;-10  ;5,5  ;9,13398  ;-7,36790e-07
11396  ;-10  ;5  ;9,13398  ;-7,36806e-07
404  ;-10  ;4,5  ;9,13398  ;-7,36843e-07
10121  ;-10  ;6  ;9,13398  ;-7,36998e-07
