13:21; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SY (N/m^2)
7061  ;0  ;4,72696  ;2,19581  ;-8,90906e+04
9852  ;-0,454983  ;0  ;2,23546  ;-8,91069e+04
617  ;-7,02874  ;1,73873  ;0  ;-8,91423e+04
205  ;0  ;5  ;1,73205  ;-8,91777e+04
431  ;-10  ;5  ;1,73205  ;-8,91953e+04
608  ;-8,26795  ;3  ;0  ;-8,92000e+04
9409  ;-10  ;6,51433  ;1,7355  ;-8,92048e+04
3823  ;-2,17254  ;7,7577  ;0  ;-8,93100e+04
7031  ;0  ;5,25  ;1,29904  ;-8,93202e+04
10777  ;-10  ;3,74048  ;2,18596  ;-8,93547e+04
8647  ;-4,34351  ;5,32843  ;0,31664  ;-8,93789e+04
8648  ;-4,55641  ;4,9556  ;0,31664  ;-8,93814e+04
10944  ;-4,33309  ;4,5937  ;0,31664  ;-8,93875e+04
9291  ;-5,24814  ;4,9893  ;0,320305  ;-8,93970e+04
8317  ;-6,51437  ;1,73539  ;0  ;-8,94103e+04
6378  ;-5,61449  ;4,68443  ;0,320305  ;-8,94103e+04
5298  ;0  ;5,77283  ;2,1959  ;-8,94106e+04
7929  ;-7,7577  ;7,82746  ;0  ;-8,94106e+04
9007  ;-5,24846  ;4,35065  ;0,32299  ;-8,94135e+04
6379  ;-5,62619  ;5,28676  ;0,320305  ;-8,94163e+04
9690  ;-7,82685  ;2,24377  ;0  ;-8,94201e+04
8901  ;-2,17219  ;2,24352  ;0  ;-8,94239e+04
8638  ;-5,26179  ;5,655  ;0,323094  ;-8,94250e+04
9671  ;-4,88374  ;5,35754  ;0,323094  ;-8,94319e+04
6992  ;0  ;9,5419  ;2,22853  ;-8,94330e+04
9009  ;-4,88211  ;4,65552  ;0,32299  ;-8,94364e+04
5929  ;-3,94887  ;4,96344  ;0,31664  ;-8,94446e+04
6377  ;-6,06225  ;4,99446  ;0,320305  ;-8,94500e+04
9008  ;-4,65879  ;4,29362  ;0,32299  ;-8,94504e+04
8639  ;-4,67084  ;5,73037  ;0,323094  ;-8,94523e+04
432  ;-10  ;6  ;1,73205  ;-8,94561e+04
5437  ;-5,7728  ;10  ;2,19592  ;-8,94607e+04
5915  ;-3,7393  ;0  ;2,19011  ;-8,94693e+04
1929  ;-10  ;0,458098  ;2,22853  ;-8,94766e+04
9925  ;-4,95506  ;3,90061  ;0,32299  ;-8,94805e+04
8637  ;-4,95614  ;6,13389  ;0,323094  ;-8,94841e+04
9911  ;-4,5  ;0  ;1,73205  ;-8,94918e+04
9457  ;0  ;0,433013  ;3,75  ;-8,95194e+04
6186  ;-9,56699  ;10  ;3,75  ;-8,95390e+04
5300  ;0  ;6,26054  ;2,1911  ;-8,95447e+04
2427  ;-5,75  ;10  ;1,29904  ;-8,95536e+04
3670  ;-0,433013  ;0  ;3,75  ;-8,95558e+04
7428  ;-1,73205  ;3,5  ;0  ;-8,95573e+04
5424  ;-1,73205  ;6,5  ;0  ;-8,95633e+04
6059  ;-5,25  ;10  ;1,29904  ;-8,95695e+04
5511  ;-10  ;0,433013  ;3,75  ;-8,95733e+04
6084  ;0  ;9,56699  ;3,75  ;-8,95761e+04
6786  ;-5,77464  ;0  ;2,20054  ;-8,95857e+04
9427  ;-10  ;3,24048  ;2,18596  ;-8,95916e+04
7155  ;-4,22603  ;10  ;2,19576  ;-8,95935e+04
206  ;0  ;4  ;1,73205  ;-8,95936e+04
7277  ;-10  ;5,77414  ;2,19576  ;-8,95961e+04
5661  ;-0,433013  ;10  ;3,75  ;-8,95979e+04
4431  ;-9,56699  ;0  ;3,75  ;-8,95981e+04
11307  ;-4,97424  ;6,81164  ;0,293016  ;-8,96172e+04
96  ;-5  ;0  ;1,73205  ;-8,96337e+04
430  ;-10  ;4  ;1,73205  ;-8,96341e+04
6187  ;-10  ;9,56699  ;3,75  ;-8,96389e+04
89  ;-6  ;0  ;1,73205  ;-8,96622e+04
10008  ;-1,77202  ;2,45063  ;0  ;-8,96659e+04
8902  ;-2,39164  ;1,82006  ;0  ;-8,97028e+04
10418  ;-6,5  ;8,26795  ;0  ;-8,97127e+04
8444  ;-10  ;0  ;4,5  ;-8,97159e+04
5439  ;-6,2665  ;10  ;2,18892  ;-8,97269e+04
10929  ;-6,25  ;0  ;1,29904  ;-8,97318e+04
7464  ;0  ;10  ;4,5  ;-8,97326e+04
10775  ;-4,41687  ;5,98189  ;0,350156  ;-8,97388e+04
9471  ;0  ;0  ;4,5  ;-8,97616e+04
6054  ;-6,76434  ;10  ;1,30246  ;-8,97653e+04
6424  ;-10  ;10  ;4,5  ;-8,97665e+04
7254  ;-5,24575  ;7,21376  ;0,293016  ;-8,97816e+04
7012  ;-4,70217  ;6,3854  ;0,350156  ;-8,97896e+04
10985  ;-4,11196  ;4,28065  ;0,355678  ;-8,98017e+04
10984  ;-3,72775  ;4,65039  ;0,355678  ;-8,98080e+04
7255  ;-4,7001  ;7,21393  ;0,293016  ;-8,98130e+04
7892  ;-5,60181  ;4,09175  ;0,361468  ;-8,98169e+04
5678  ;0  ;5,5  ;1,73205  ;-8,98175e+04
11051  ;-4,41004  ;3,91569  ;0,35456  ;-8,98196e+04
323  ;-5  ;10  ;1,73205  ;-8,98250e+04
7013  ;-4,04732  ;6,27664  ;0,350156  ;-8,98258e+04
600  ;-1,81198  ;1,90127  ;0  ;-8,98494e+04
7895  ;-5,92228  ;4,39981  ;0,367792  ;-8,98592e+04
10424  ;-5,2728  ;10  ;2,19592  ;-8,98595e+04
11130  ;-5,95502  ;5,58959  ;0,365023  ;-8,98619e+04
11317  ;-4,06832  ;5,69826  ;0,364878  ;-8,98775e+04
9417  ;-10  ;6,26759  ;2,18958  ;-8,98796e+04
211  ;0  ;6  ;1,73205  ;-8,98873e+04
7536  ;-4,72603  ;10  ;2,19576  ;-8,98901e+04
9434  ;-5,3084  ;3,64171  ;0,361468  ;-8,98918e+04
5928  ;-3,67368  ;5,33327  ;0,364878  ;-8,98950e+04
10286  ;0  ;4,22696  ;2,19581  ;-8,98962e+04
9585  ;-3,75155  ;3,99009  ;0,355678  ;-8,98975e+04
11177  ;-4,70631  ;3,52268  ;0,35456  ;-8,99002e+04
9207  ;-6,26868  ;0  ;2,19022  ;-8,99133e+04
9255  ;-6,39108  ;5,29729  ;0,365023  ;-8,99268e+04
7222  ;-6,37004  ;4,70985  ;0,367792  ;-8,99281e+04
11029  ;-5,59888  ;5,96289  ;0,374951  ;-8,99535e+04
7891  ;-5,96477  ;3,74779  ;0,361468  ;-8,99540e+04
7080  ;-4,04962  ;3,62513  ;0,35456  ;-8,99553e+04
9256  ;-6,30463  ;5,95663  ;0,365023  ;-8,99676e+04
5926  ;-3,32176  ;4,96672  ;0,353035  ;-8,99686e+04
322  ;-6  ;10  ;1,73205  ;-8,99771e+04
324  ;-4  ;10  ;1,73205  ;-8,99828e+04
10384  ;-5,03485  ;3,03713  ;0,323275  ;-8,99862e+04
10669  ;-3,69877  ;5,99301  ;0,364878  ;-8,99936e+04
7011  ;-4,42803  ;6,7877  ;0,350156  ;-9,00026e+04
7221  ;-6,28524  ;4,05585  ;0,367792  ;-9,00074e+04
95  ;-4  ;0  ;1,73205  ;-9,00111e+04
11311  ;-5,29323  ;6,44177  ;0,374951  ;-9,00308e+04
10928  ;-6,5  ;0  ;1,73205  ;-9,00441e+04
8543  ;-5,5  ;10  ;1,73205  ;-9,00444e+04
594  ;-1,81087  ;8,10105  ;0  ;-9,00463e+04
10538  ;-3,25146  ;4,38155  ;0,355678  ;-9,00490e+04
601  ;-8,10105  ;8,18914  ;0  ;-9,00550e+04
7153  ;-3,73242  ;10  ;2,18958  ;-9,00561e+04
