13:36; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 10
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SX (N/m^2)
9309  ;-5,87195  ;5,70959  ;9,64352  ;1,58685e+05
8099  ;-5,9466  ;4,26863  ;9,64298  ;1,57727e+05
8827  ;-8,70096  ;4,75  ;10  ;1,57663e+05
5388  ;-3,16323  ;3,58357  ;10  ;1,56430e+05
6742  ;-0,866025  ;5  ;10  ;1,56406e+05
10136  ;-6,83651  ;3,58035  ;10  ;1,56316e+05
7525  ;-4,42367  ;4,0767  ;9,64061  ;1,55851e+05
8821  ;-9,13398  ;5  ;10  ;1,55831e+05
7260  ;-2,7449  ;0  ;1,30211  ;1,54906e+05
11082  ;-3,16827  ;6,42395  ;10  ;1,54051e+05
10377  ;-6,83043  ;6,41903  ;10  ;1,54032e+05
1824  ;-5,06379  ;3,91669  ;9,6965  ;1,53711e+05
7739  ;-4,38343  ;5,97009  ;9,63038  ;1,53625e+05
501  ;-9,13398  ;4,5  ;10  ;1,53415e+05
8820  ;-9,56699  ;5,25  ;10  ;1,53389e+05
6260  ;-0,433013  ;5,25  ;10  ;1,53074e+05
8822  ;-9,56699  ;4,75  ;10  ;1,53045e+05
9118  ;-3,25455  ;4,41417  ;9,63866  ;1,52968e+05
4558  ;-2,79895  ;5,24591  ;9,66008  ;1,52921e+05
6682  ;-0,433013  ;4,75  ;10  ;1,52889e+05
10494  ;-2,79863  ;4,69859  ;9,66008  ;1,52850e+05
9204  ;-6,74274  ;5,61445  ;9,64352  ;1,52713e+05
10118  ;-8,70096  ;4,25  ;10  ;1,52675e+05
490  ;-0,866025  ;5,5  ;10  ;1,52569e+05
9656  ;-7,154  ;5,30098  ;9,64667  ;1,52487e+05
500  ;-9,13398  ;5,5  ;10  ;1,52275e+05
484  ;-0,866025  ;4,5  ;10  ;1,51954e+05
4812  ;-3,17902  ;5,55985  ;9,63232  ;1,51933e+05
6765  ;-6,8079  ;4,37105  ;9,64298  ;1,51848e+05
10606  ;-5,59567  ;3,94669  ;9,64234  ;1,51683e+05
6764  ;-7,15408  ;4,76327  ;9,64667  ;1,51600e+05
5019  ;-1,29904  ;4,25  ;10  ;1,51509e+05
7261  ;-2,9949  ;0  ;0,869102  ;1,49350e+05
10371  ;-8,70096  ;5,75  ;10  ;1,49159e+05
5796  ;-1,29904  ;5,75  ;10  ;1,49151e+05
518  ;-1,73205  ;6  ;10  ;1,49046e+05
507  ;-8,26795  ;4  ;10  ;1,48900e+05
7527  ;-3,76335  ;4,03018  ;9,63866  ;1,48419e+05
4615  ;-2,3302  ;4,97218  ;9,66008  ;1,48233e+05
521  ;-1,73205  ;4  ;10  ;1,47986e+05
9205  ;-6,2413  ;6,00461  ;9,64352  ;1,47926e+05
8520  ;-3,68873  ;5,94198  ;9,63232  ;1,47737e+05
8789  ;-7,81395  ;3,74074  ;10  ;1,47424e+05
509  ;-8,26795  ;6  ;10  ;1,47334e+05
379  ;-10  ;5  ;10  ;1,47223e+05
7738  ;-5,07763  ;6,10433  ;9,62215  ;1,46966e+05
8006  ;-6,30828  ;3,97907  ;9,64298  ;1,46954e+05
156  ;0  ;5  ;10  ;1,46870e+05
9163  ;-5,56252  ;6,13848  ;9,60184  ;1,46112e+05
6556  ;-9,56699  ;4,25  ;10  ;1,45786e+05
11348  ;-5,11647  ;4,96174  ;9,34231  ;1,45671e+05
9658  ;-7,17381  ;5,80826  ;9,65001  ;1,45638e+05
10382  ;-7,62052  ;5,07137  ;9,62409  ;1,45607e+05
10866  ;-2,186  ;3,74115  ;10  ;1,45141e+05
9116  ;-2,83695  ;4,15821  ;9,64802  ;1,44578e+05
1532  ;-4,52942  ;4,97575  ;9,35904  ;1,44463e+05
6261  ;-0,433013  ;5,75  ;10  ;1,44406e+05
8237  ;-2,18981  ;6,26809  ;10  ;1,44351e+05
4867  ;-7,6206  ;4,53366  ;9,62409  ;1,44298e+05
10536  ;-4,829  ;4,66788  ;9,37602  ;1,44264e+05
9086  ;-0,433013  ;4,25  ;10  ;1,44096e+05
4559  ;-2,82965  ;5,84266  ;9,63561  ;1,44088e+05
9132  ;-7,80977  ;6,25958  ;10  ;1,43991e+05
9313  ;-9,56699  ;5,75  ;10  ;1,43757e+05
7524  ;-4,06166  ;3,73236  ;9,64061  ;1,43620e+05
10100  ;-10  ;4,5  ;10  ;1,43278e+05
10863  ;0  ;4,5  ;10  ;1,43246e+05
6257  ;0  ;5,5  ;10  ;1,43087e+05
9310  ;-10  ;5,5  ;10  ;1,42638e+05
1825  ;-4,71789  ;3,62663  ;9,64061  ;1,42609e+05
6820  ;-4,07159  ;6,82595  ;10  ;1,42602e+05
6850  ;-5,41606  ;4,65387  ;9,3593  ;1,42416e+05
6299  ;-5,92731  ;6,82968  ;10  ;1,41996e+05
6775  ;-5,93027  ;3,1699  ;10  ;1,41910e+05
535  ;-2,63994  ;3,4823  ;10  ;1,41902e+05
545  ;-7,3516  ;6,51916  ;10  ;1,41653e+05
678  ;-5,12858  ;4,36001  ;9,393  ;1,41459e+05
5411  ;-4,07091  ;3,17281  ;10  ;1,41292e+05
539  ;-2,64758  ;6,53618  ;10  ;1,40818e+05
548  ;-7,35995  ;3,48148  ;10  ;1,40739e+05
6777  ;-5,95735  ;3,65713  ;9,64234  ;1,40727e+05
3707  ;-8,09842  ;4,80208  ;9,62409  ;1,40640e+05
6824  ;-4,03393  ;6,33738  ;9,63038  ;1,40557e+05
9599  ;-2,33103  ;4,35135  ;9,6014  ;1,40479e+05
1364  ;-5,70353  ;4,94774  ;9,32559  ;1,40452e+05
5391  ;-3,34575  ;3,77422  ;9,64802  ;1,40314e+05
1646  ;-5,30031  ;3,55421  ;9,64234  ;1,40141e+05
6822  ;-4,72423  ;6,92926  ;10  ;1,40108e+05
2407  ;-2,3475  ;5,62102  ;9,57686  ;1,40088e+05
1647  ;-5,27323  ;3,06698  ;10  ;1,40027e+05
8630  ;-5,26979  ;6,9294  ;10  ;1,39945e+05
6557  ;-9,13398  ;4  ;10  ;1,39807e+05
10375  ;-9,13398  ;6  ;10  ;1,39755e+05
9228  ;-7,25124  ;0,288726  ;1,01066  ;1,39586e+05
9085  ;-0,866025  ;4  ;10  ;1,39547e+05
5795  ;-0,866025  ;6  ;10  ;1,39245e+05
8574  ;-7,06001  ;3,90817  ;9,66714  ;1,39112e+05
9963  ;-4,84523  ;5,33304  ;9,30166  ;1,39103e+05
6825  ;-4,68656  ;6,44069  ;9,63038  ;1,39043e+05
9014  ;-4,72715  ;3,06708  ;10  ;1,39028e+05
9136  ;-4,1848  ;4,67564  ;9,31818  ;1,38993e+05
10695  ;-6,67237  ;6,19842  ;9,65001  ;1,38874e+05
10185  ;-5,71604  ;4,31946  ;9,33948  ;1,38588e+05
9722  ;-7,64133  ;5,63308  ;9,54931  ;1,38535e+05
8178  ;-6,34969  ;5,00556  ;9,30947  ;1,38337e+05
3741  ;-8,51656  ;5,11692  ;9,62833  ;1,38320e+05
6857  ;-4,10896  ;5,274  ;9,31184  ;1,38195e+05
324  ;-4  ;10  ;1,73205  ;1,38082e+05
11141  ;-3,58451  ;6,83171  ;10  ;1,38056e+05
11071  ;-3,33936  ;6,22479  ;9,63561  ;1,37946e+05
6300  ;-6,42298  ;6,83588  ;10  ;1,37582e+05
8629  ;-5,43229  ;5,31903  ;9,28494  ;1,37545e+05
5387  ;-3,57496  ;3,16606  ;10  ;1,37433e+05
9703  ;-6,42409  ;3,1631  ;10  ;1,37387e+05
10605  ;-4,48311  ;4,37782  ;9,32013  ;1,37024e+05
8181  ;-5,93844  ;5,31902  ;9,30632  ;1,36929e+05
5024  ;-1,86259  ;4,62494  ;9,6014  ;1,36680e+05
4870  ;-7,6117  ;4,07375  ;9,63226  ;1,36644e+05
6743  ;-1,37974  ;5,04839  ;9,62508  ;1,36571e+05
7407  ;-6,00351  ;4,61333  ;9,30578  ;1,36047e+05
5797  ;-1,29904  ;6,25  ;10  ;1,35907e+05
6976  ;-5,93187  ;6,4335  ;9,60184  ;1,35672e+05
10524  ;-3,76434  ;4,97389  ;9,27098  ;1,35409e+05
