13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UY (mm)
7439  ;-9,56699  ;3,75  ;0  ;0,00000e+00
4897  ;-6  ;0,866025  ;0  ;0,00000e+00
4898  ;-5,75  ;1,29904  ;0  ;0,00000e+00
4899  ;-6,25  ;1,29904  ;0  ;0,00000e+00
7429  ;-1,29904  ;3,25  ;0  ;0,00000e+00
7428  ;-1,73205  ;3,5  ;0  ;0,00000e+00
7420  ;-5,5  ;1,73205  ;0  ;0,00000e+00
7419  ;-5,77389  ;2,1964  ;0  ;0,00000e+00
7418  ;-5,27389  ;2,1964  ;0  ;0,00000e+00
7416  ;-5,75  ;0,433013  ;0  ;0,00000e+00
9542  ;-0,422269  ;1,76496  ;0  ;0,00000e+00
9546  ;-4,5  ;0  ;0  ;0,00000e+00
9547  ;-4,75  ;0,433013  ;0  ;0,00000e+00
9549  ;-4,25  ;0,433013  ;0  ;0,00000e+00
9576  ;0  ;2,5  ;0  ;0,00000e+00
9577  ;-0,433013  ;2,25  ;0  ;0,00000e+00
7252  ;-4,72586  ;7,80422  ;0  ;0,00000e+00
7251  ;-4,99737  ;7,34031  ;0  ;0,00000e+00
11212  ;-1,5  ;0  ;0  ;0,00000e+00
7250  ;-5,27151  ;7,80404  ;0  ;0,00000e+00
4912  ;-5  ;0,866025  ;0  ;0,00000e+00
7246  ;-7,81397  ;3,24044  ;0  ;0,00000e+00
7245  ;-7,4128  ;3,03332  ;0  ;0,00000e+00
7244  ;-7,86678  ;2,79288  ;0  ;0,00000e+00
9608  ;-7,2551  ;9,56391  ;0  ;0,00000e+00
9609  ;-7,0051  ;9,1309  ;0  ;0,00000e+00
7219  ;-6,90721  ;4,72439  ;0  ;0,00000e+00
7218  ;-6,39862  ;4,33954  ;0  ;0,00000e+00
7217  ;-6,82242  ;4,07039  ;0  ;0,00000e+00
9620  ;-3,16405  ;5,26777  ;0  ;0,00000e+00
9621  ;-3,16383  ;4,73004  ;0  ;0,00000e+00
7180  ;-8,67554  ;7,27871  ;0  ;0,00000e+00
7179  ;-8,69751  ;6,76433  ;0  ;0,00000e+00
7178  ;-9,11201  ;7,01438  ;0  ;0,00000e+00
11181  ;-9,14467  ;2,01489  ;0  ;0,00000e+00
7160  ;-6,25  ;9,56699  ;0  ;0,00000e+00
9652  ;-8,80224  ;9,57036  ;0  ;0,00000e+00
7159  ;-6,5  ;10  ;0  ;0,00000e+00
7148  ;-6,75  ;9,56699  ;0  ;0,00000e+00
7145  ;-9,56699  ;6,25  ;0  ;0,00000e+00
11176  ;-4,3444  ;3,57584  ;0  ;0,00000e+00
11174  ;-3,05756  ;3,05978  ;0  ;0,00000e+00
9685  ;-8,86753  ;8,81201  ;0  ;0,00000e+00
7144  ;-9,13398  ;6  ;0  ;0,00000e+00
7143  ;-9,56699  ;5,75  ;0  ;0,00000e+00
7127  ;-9,57768  ;1,26489  ;0  ;0,00000e+00
7125  ;-9,57768  ;1,76489  ;0  ;0,00000e+00
7124  ;-10  ;1,5  ;0  ;0,00000e+00
9690  ;-7,82685  ;2,24377  ;0  ;0,00000e+00
7117  ;-7,79922  ;5,27513  ;0  ;0,00000e+00
7085  ;-7,81018  ;6,26752  ;0  ;0,00000e+00
7084  ;-7,34145  ;6,04265  ;0  ;0,00000e+00
7083  ;-7,79922  ;5,77513  ;0  ;0,00000e+00
9700  ;-8,22802  ;2,45089  ;0  ;0,00000e+00
9739  ;-3,75  ;0,433013  ;0  ;0,00000e+00
11133  ;-5,92677  ;6,82618  ;0  ;0,00000e+00
7027  ;-1,29904  ;3,75  ;0  ;0,00000e+00
7026  ;-1,29904  ;4,25  ;0  ;0,00000e+00
11129  ;-5,96091  ;5,94518  ;0  ;0,00000e+00
7025  ;-0,866025  ;4  ;0  ;0,00000e+00
7017  ;-1,29904  ;6,25  ;0  ;0,00000e+00
7016  ;-1,29904  ;6,75  ;0  ;0,00000e+00
7010  ;-4,07101  ;6,82943  ;0  ;0,00000e+00
7009  ;-4,34515  ;6,42714  ;0  ;0,00000e+00
7008  ;-4,72586  ;6,93819  ;0  ;0,00000e+00
11124  ;-4,07168  ;3,16946  ;0  ;0,00000e+00
7005  ;-2,21001  ;5,26833  ;0  ;0,00000e+00
7004  ;-2,21001  ;5,76833  ;0  ;0,00000e+00
6990  ;-1,5  ;10  ;0  ;0,00000e+00
11123  ;-3,57718  ;3,15875  ;0  ;0,00000e+00
6987  ;-0,929637  ;9,30224  ;0  ;0,00000e+00
6986  ;-1,25835  ;9,56529  ;0  ;0,00000e+00
9830  ;0  ;1,5  ;0  ;0,00000e+00
9831  ;-0,422269  ;1,26496  ;0  ;0,00000e+00
6974  ;-0,433013  ;6,75  ;0  ;0,00000e+00
6973  ;-0,433013  ;6,25  ;0  ;0,00000e+00
6972  ;0  ;6,5  ;0  ;0,00000e+00
6959  ;0  ;5,5  ;0  ;0,00000e+00
9845  ;-2,5  ;0  ;0  ;0,00000e+00
9847  ;-2,22853  ;0,458097  ;0  ;0,00000e+00
6955  ;-1,34152  ;7,80562  ;0  ;0,00000e+00
6954  ;-0,865726  ;8,05734  ;0  ;0,00000e+00
9861  ;-7,77331  ;0,458099  ;0  ;0,00000e+00
9862  ;-8,07802  ;0,899388  ;0  ;0,00000e+00
9863  ;-8,30471  ;0,441289  ;0  ;0,00000e+00
9881  ;-8,39875  ;1,39218  ;0  ;0,00000e+00
9882  ;-8,67173  ;1,71577  ;0  ;0,00000e+00
9883  ;-8,88239  ;1,20617  ;0  ;0,00000e+00
9899  ;-1,30212  ;7,2551  ;0  ;0,00000e+00
9909  ;-4  ;0,866025  ;0  ;0,00000e+00
9910  ;-3,75  ;1,29904  ;0  ;0,00000e+00
6588  ;-7,86735  ;1,40899  ;0  ;0,00000e+00
6587  ;-7,60841  ;1,82025  ;0  ;0,00000e+00
9917  ;-6,75  ;0,433013  ;0  ;0,00000e+00
9923  ;-4,70482  ;3,86639  ;0  ;0,00000e+00
9924  ;-5,29449  ;3,92342  ;0  ;0,00000e+00
9998  ;-0,433013  ;3,75  ;0  ;0,00000e+00
10001  ;-0,855281  ;2,01496  ;0  ;0,00000e+00
11031  ;-8,26795  ;4,5  ;0  ;0,00000e+00
10002  ;-1,339  ;2,20063  ;0  ;0,00000e+00
5098  ;-4,25  ;9,56699  ;0  ;0,00000e+00
10003  ;-1,32826  ;1,7156  ;0  ;0,00000e+00
5099  ;-4  ;9,13398  ;0  ;0,00000e+00
10007  ;-1,29904  ;2,75  ;0  ;0,00000e+00
10008  ;-1,77202  ;2,45063  ;0  ;0,00000e+00
10012  ;0  ;3,5  ;0  ;0,00000e+00
6404  ;-9,56699  ;5,25  ;0  ;0,00000e+00
250  ;-1  ;10  ;0  ;0,00000e+00
251  ;-2  ;10  ;0  ;0,00000e+00
252  ;-3  ;10  ;0  ;0,00000e+00
253  ;-4  ;10  ;0  ;0,00000e+00
254  ;-5  ;10  ;0  ;0,00000e+00
255  ;-6  ;10  ;0  ;0,00000e+00
256  ;-7  ;10  ;0  ;0,00000e+00
257  ;-8  ;10  ;0  ;0,00000e+00
258  ;-9  ;10  ;0  ;0,00000e+00
6403  ;-9,13398  ;5  ;0  ;0,00000e+00
6376  ;-6,04735  ;5,28583  ;0  ;0,00000e+00
6375  ;-5,59959  ;4,9758  ;0  ;0,00000e+00
6374  ;-6,03565  ;4,6835  ;0  ;0,00000e+00
10031  ;-0,866025  ;6  ;0  ;0,00000e+00
10983  ;-4,04813  ;3,96885  ;0  ;0,00000e+00
10043  ;-8,5  ;10  ;0  ;0,00000e+00
10060  ;-7,2551  ;8,69789  ;0  ;0,00000e+00
2898  ;-1,66379  ;8,61582  ;0  ;0,00000e+00
10982  ;-3,66392  ;4,33859  ;0  ;0,00000e+00
2899  ;-1,33507  ;8,35276  ;0  ;0,00000e+00
10980  ;-4,72836  ;3,06701  ;0  ;0,00000e+00
2900  ;-1,18799  ;8,86753  ;0  ;0,00000e+00
