13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UX (mm)
2606  ;-0,454982  ;10  ;7,76438  ;7,32103e-07
6649  ;-7,38343  ;10  ;7,00038  ;7,31809e-07
8243  ;-2,61591  ;10  ;6,99904  ;7,31777e-07
10292  ;-3,16823  ;10  ;6,42536  ;7,31630e-07
6435  ;-6,83183  ;10  ;6,42484  ;7,31613e-07
6650  ;-7,8377  ;10  ;7,24722  ;7,31579e-07
10834  ;-2,16231  ;10  ;7,24716  ;7,31551e-07
361  ;-5,61341  ;10  ;5,59043  ;7,31295e-07
278  ;-9,09004  ;10  ;7,52875  ;7,31143e-07
294  ;-0,909964  ;10  ;7,52875  ;7,31038e-07
11013  ;-10  ;10  ;7,5  ;7,30815e-07
7491  ;0  ;10  ;7,5  ;7,30736e-07
8186  ;-8,67554  ;10  ;7,27871  ;7,30350e-07
346  ;-2,64614  ;10  ;6,53244  ;7,30337e-07
334  ;-7,3525  ;10  ;6,53498  ;7,30333e-07
5205  ;-1,32445  ;10  ;7,27871  ;7,30278e-07
6318  ;-4,64451  ;10  ;5,35775  ;7,30126e-07
6648  ;-7,80677  ;10  ;6,78182  ;7,29959e-07
11199  ;-2,19254  ;10  ;6,78055  ;7,29941e-07
332  ;-8,26104  ;10  ;7,02867  ;7,29900e-07
321  ;-1,73895  ;10  ;7,02867  ;7,29854e-07
6264  ;-3,66608  ;10  ;5,65849  ;7,29809e-07
9180  ;-5,23629  ;10  ;5,28827  ;7,29676e-07
9299  ;-6,39539  ;10  ;5,65741  ;7,29593e-07
6263  ;-3,1891  ;10  ;5,92969  ;7,29582e-07
11014  ;-9,54502  ;10  ;7,26438  ;7,29559e-07
6434  ;-6,82005  ;10  ;5,9321  ;7,29550e-07
7349  ;-0,454982  ;10  ;7,26438  ;7,29456e-07
6317  ;-4,03584  ;10  ;5,36404  ;7,28894e-07
