13:21; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SZ (N/m^2)
7272  ;-4,7745  ;5,63373  ;9,62215  ;1,94811e+03
6778  ;-5,77268  ;7,8042  ;10  ;1,94788e+03
8571  ;-5,63704  ;5,3383  ;9,6628  ;1,94707e+03
6926  ;-5,64662  ;4,60304  ;9,6628  ;1,94619e+03
7274  ;-5,3658  ;5,7096  ;9,62215  ;1,94018e+03
5412  ;-3,95935  ;2,65403  ;10  ;1,93897e+03
9096  ;-3,96714  ;7,34594  ;10  ;1,93660e+03
6301  ;-6,04104  ;7,34666  ;10  ;1,93482e+03
8888  ;0  ;7  ;0,866025  ;1,92907e+03
7738  ;-5,07763  ;6,10433  ;9,62215  ;1,92806e+03
5814  ;-5,5  ;8,26795  ;10  ;1,92743e+03
9097  ;-4,22712  ;7,80407  ;10  ;1,92719e+03
9704  ;-6,04129  ;2,65379  ;10  ;1,92693e+03
1825  ;-4,71789  ;3,62663  ;9,64061  ;1,92331e+03
8086  ;-4,75  ;8,70096  ;10  ;1,92224e+03
8973  ;-5,5  ;1,73205  ;10  ;1,92127e+03
10178  ;-4,5  ;1,73205  ;10  ;1,92037e+03
7525  ;-4,42367  ;4,0767  ;9,64061  ;1,91885e+03
429  ;-10  ;3  ;1,73205  ;1,91834e+03
10165  ;-4,5  ;8,26795  ;10  ;1,91514e+03
1646  ;-5,30031  ;3,55421  ;9,64234  ;1,91266e+03
5813  ;-5,25  ;8,70096  ;10  ;1,90577e+03
10407  ;-5,25  ;1,29904  ;10  ;1,90483e+03
10606  ;-5,59567  ;3,94669  ;9,64234  ;1,89996e+03
6825  ;-4,68656  ;6,44069  ;9,63038  ;1,89557e+03
7225  ;-4,75  ;1,29904  ;10  ;1,89489e+03
1650  ;-5,06753  ;3,16561  ;9,66653  ;1,89376e+03
7739  ;-4,38343  ;5,97009  ;9,63038  ;1,89202e+03
11005  ;-4,97365  ;6,91169  ;9,66343  ;1,87824e+03
8633  ;-5,27435  ;6,53322  ;9,60184  ;1,86992e+03
9163  ;-5,56252  ;6,13848  ;9,60184  ;1,86192e+03
11141  ;-3,58451  ;6,83171  ;10  ;1,85988e+03
7529  ;-4,12537  ;4,37452  ;9,63866  ;1,85889e+03
9309  ;-5,87195  ;5,70959  ;9,64352  ;1,85849e+03
3802  ;-5  ;9,13398  ;10  ;1,85743e+03
10408  ;-5  ;0,866025  ;10  ;1,85327e+03
9519  ;0  ;0  ;1,5  ;1,85212e+03
10664  ;-4,0229  ;4,98448  ;9,67952  ;1,84583e+03
9703  ;-6,42409  ;3,1631  ;10  ;1,83743e+03
8099  ;-5,9466  ;4,26863  ;9,64298  ;1,83679e+03
5387  ;-3,57496  ;3,16606  ;10  ;1,83438e+03
6300  ;-6,42298  ;6,83588  ;10  ;1,83045e+03
9514  ;-4,44604  ;3,22034  ;9,64061  ;1,82983e+03
6924  ;-6,03157  ;4,97344  ;9,6628  ;1,82581e+03
3801  ;-4,75  ;9,56699  ;10  ;1,82444e+03
8521  ;-4,03823  ;5,57469  ;9,63232  ;1,82419e+03
9016  ;-4,79568  ;2,75931  ;9,66653  ;1,82406e+03
1648  ;-5,34177  ;2,75922  ;9,66653  ;1,82002e+03
492  ;-4,5  ;9,13398  ;10  ;1,81837e+03
3803  ;-5,25  ;9,56699  ;10  ;1,81796e+03
474  ;-5,5  ;0,866025  ;10  ;1,81582e+03
493  ;-5,5  ;9,13398  ;10  ;1,81297e+03
10171  ;-4,25  ;1,29904  ;10  ;1,81269e+03
1645  ;-5,57455  ;3,14782  ;9,64234  ;1,81212e+03
11047  ;-5,75  ;1,29904  ;10  ;1,81207e+03
11041  ;-5,25  ;0,433013  ;10  ;1,80892e+03
9169  ;-5,24922  ;7,32275  ;9,66343  ;1,80586e+03
9168  ;-4,70365  ;7,32262  ;9,66343  ;1,80567e+03
10575  ;-4,75  ;0,433013  ;10  ;1,80153e+03
6823  ;-4,41657  ;6,85162  ;9,63038  ;1,80100e+03
478  ;-4,5  ;0,866025  ;10  ;1,79848e+03
5815  ;-5,75  ;8,70096  ;10  ;1,79577e+03
211  ;0  ;6  ;1,73205  ;1,78534e+03
8133  ;-4,25  ;8,70096  ;10  ;1,78481e+03
527  ;-6  ;1,73205  ;10  ;1,78228e+03
524  ;-4  ;1,73205  ;10  ;1,78117e+03
513  ;-6  ;8,26795  ;10  ;1,77500e+03
8632  ;-5,54992  ;6,94428  ;9,60184  ;1,77403e+03
7524  ;-4,06166  ;3,73236  ;9,64061  ;1,77296e+03
9001  ;-5,06803  ;2,29495  ;9,66653  ;1,76978e+03
515  ;-4  ;8,26795  ;10  ;1,76437e+03
6777  ;-5,95735  ;3,65713  ;9,64234  ;1,76116e+03
9095  ;-3,74003  ;7,80982  ;10  ;1,75339e+03
272  ;-5  ;10  ;10  ;1,75038e+03
6824  ;-4,03393  ;6,33738  ;9,63038  ;1,74989e+03
9167  ;-4,97654  ;7,7865  ;9,66343  ;1,74923e+03
8978  ;-5,57601  ;2,23194  ;9,69073  ;1,74384e+03
6833  ;-4,37298  ;2,36206  ;9,68112  ;1,74221e+03
9206  ;-6,26648  ;5,34473  ;9,64352  ;1,74066e+03
10147  ;-6,26756  ;2,18952  ;10  ;1,73757e+03
6779  ;-6,26835  ;7,8104  ;10  ;1,73713e+03
31  ;-5  ;0  ;10  ;1,73654e+03
9203  ;-6,83588  ;5,26887  ;10  ;1,73489e+03
10168  ;-4,4831  ;7,65454  ;9,66138  ;1,73273e+03
8843  ;-3,7317  ;2,18967  ;10  ;1,73245e+03
11045  ;-5,75  ;0,433013  ;10  ;1,72931e+03
6302  ;-5,82833  ;7,2064  ;9,65763  ;1,72786e+03
10536  ;-4,829  ;4,66788  ;9,37602  ;1,72738e+03
6976  ;-5,93187  ;6,4335  ;9,60184  ;1,72707e+03
678  ;-5,12858  ;4,36001  ;9,393  ;1,72639e+03
8147  ;-5,75  ;9,56699  ;10  ;1,72575e+03
9494  ;-4,25  ;0,433013  ;10  ;1,72441e+03
8002  ;-6,83596  ;4,73115  ;10  ;1,72324e+03
9205  ;-6,2413  ;6,00461  ;9,64352  ;1,71900e+03
8005  ;-6,33156  ;4,63903  ;9,64298  ;1,71808e+03
7527  ;-3,76335  ;4,03018  ;9,63866  ;1,71779e+03
430  ;-10  ;4  ;1,73205  ;1,71620e+03
10672  ;-3,67828  ;4,68437  ;9,63866  ;1,71427e+03
8119  ;-4,25  ;9,56699  ;10  ;1,71391e+03
9706  ;-5,85609  ;2,83541  ;9,63743  ;1,71215e+03
11348  ;-5,11647  ;4,96174  ;9,34231  ;1,71077e+03
10573  ;-4,5  ;0  ;10  ;1,71072e+03
9201  ;-6,8107  ;5,92875  ;10  ;1,70570e+03
11143  ;-4,10809  ;7,14251  ;9,64351  ;1,70538e+03
8145  ;-5,5  ;10  ;10  ;1,70414e+03
11233  ;-5,5  ;0  ;10  ;1,70315e+03
9117  ;-3,17772  ;4,06882  ;10  ;1,70118e+03
8976  ;-5,30228  ;1,76767  ;9,69073  ;1,69992e+03
8117  ;-4,5  ;10  ;10  ;1,69965e+03
8004  ;-6,81269  ;4,07119  ;10  ;1,69855e+03
1532  ;-4,52942  ;4,97575  ;9,35904  ;1,69653e+03
6850  ;-5,41606  ;4,65387  ;9,3593  ;1,69456e+03
8006  ;-6,30828  ;3,97907  ;9,64298  ;1,69304e+03
10604  ;-3,17925  ;5,92959  ;10  ;1,69255e+03
11239  ;-3,09265  ;4,72301  ;10  ;1,69049e+03
8993  ;-4,64534  ;1,89769  ;9,68112  ;1,69010e+03
8260  ;-5,49249  ;7,76079  ;9,61749  ;1,69003e+03
10166  ;-4,75598  ;8,11842  ;9,66138  ;1,68918e+03
4810  ;-3,09296  ;5,27033  ;10  ;1,68755e+03
4811  ;-3,60244  ;5,28273  ;9,63232  ;1,68414e+03
530  ;-6,53512  ;2,64698  ;10  ;1,68370e+03
8520  ;-3,68873  ;5,94198  ;9,63232  ;1,68190e+03
533  ;-3,4634  ;2,64728  ;10  ;1,68163e+03
5413  ;-4,13643  ;2,84143  ;9,62576  ;1,67961e+03
543  ;-6,53671  ;7,35285  ;10  ;1,67955e+03
540  ;-3,48006  ;7,35169  ;10  ;1,67329e+03
10994  ;-4  ;9,13398  ;10  ;1,66726e+03
1681  ;-4,78269  ;4,06995  ;9,33711  ;1,66599e+03
10605  ;-4,48311  ;4,37782  ;9,32013  ;1,66547e+03
9963  ;-4,84523  ;5,33304  ;9,30166  ;1,66494e+03
10170  ;-4  ;0,866025  ;10  ;1,66157e+03
5678  ;0  ;5,5  ;1,73205  ;1,65992e+03
10991  ;-6  ;9,13398  ;10  ;1,65890e+03
11044  ;-6  ;0,866025  ;10  ;1,65831e+03
5817  ;-5,21981  ;8,22453  ;9,61749  ;1,65768e+03
1680  ;-5,36511  ;3,99752  ;9,33884  ;1,65696e+03
11070  ;-3,72546  ;6,62827  ;9,64351  ;1,65181e+03
6303  ;-6,21028  ;6,69562  ;9,65763  ;1,65159e+03
9962  ;-4,45416  ;5,6694  ;9,3099  ;1,65063e+03
7706  ;-4,98067  ;8,62419  ;9,64414  ;1,64902e+03
10377  ;-6,83043  ;6,41903  ;10  ;1,64136e+03
5388  ;-3,16323  ;3,58357  ;10  ;1,64084e+03
9100  ;-4,05236  ;7,60804  ;9,65806  ;1,63871e+03
8239  ;-6,2389  ;3,34472  ;9,63743  ;1,63817e+03
10136  ;-6,83651  ;3,58035  ;10  ;1,63690e+03
11082  ;-3,16827  ;6,42395  ;10  ;1,63467e+03
8629  ;-5,43229  ;5,31903  ;9,28494  ;1,63283e+03
5414  ;-3,75205  ;3,35345  ;9,62576  ;1,62933e+03
10185  ;-5,71604  ;4,31946  ;9,33948  ;1,62644e+03
1364  ;-5,70353  ;4,94774  ;9,32559  ;1,62434e+03
11049  ;-5,55228  ;1,33466  ;9,69073  ;1,61874e+03
10713  ;-6,25  ;8,70096  ;10  ;1,61812e+03
1682  ;-5,01921  ;3,70747  ;9,28295  ;1,61706e+03
10172  ;-3,75  ;1,29904  ;10  ;1,61625e+03
6832  ;-4,55218  ;2,82682  ;9,35914  ;1,61377e+03
8846  ;-6,25  ;1,29904  ;10  ;1,61266e+03
8844  ;-4,14534  ;1,89769  ;9,68112  ;1,60555e+03
8977  ;-5,80228  ;1,76767  ;9,69073  ;1,60373e+03
10167  ;-4,25598  ;8,11842  ;9,66138  ;1,60336e+03
10179  ;-4,39534  ;1,46468  ;9,68112  ;1,60197e+03
5791  ;-3,75  ;8,70096  ;10  ;1,59509e+03
1362  ;-5,16105  ;5,69033  ;9,24429  ;1,59417e+03
5488  ;-10  ;0  ;1,5  ;1,59034e+03
9136  ;-4,1848  ;4,67564  ;9,31818  ;1,59028e+03
4998  ;-4,76998  ;6,02669  ;9,25253  ;1,59002e+03
10169  ;-5,66719  ;5,69032  ;9,26567  ;1,58422e+03
6780  ;-6,05565  ;7,67015  ;9,65763  ;1,58256e+03
1756  ;-4,78643  ;3,31887  ;9,30715  ;1,57902e+03
11034  ;-6,67774  ;5,03126  ;9,64667  ;1,57366e+03
5816  ;-5,46981  ;8,65755  ;9,61749  ;1,57316e+03
5818  ;-5,71981  ;8,22453  ;9,61749  ;1,57177e+03
679  ;-4,43679  ;3,77989  ;9,28123  ;1,57173e+03
30  ;-6  ;0  ;10  ;1,56862e+03
1649  ;-5,36885  ;3,24644  ;9,30887  ;1,56857e+03
10148  ;-6,06984  ;2,22514  ;9,69073  ;1,56847e+03
8134  ;-4,48067  ;8,62419  ;9,64414  ;1,56822e+03
273  ;-6  ;10  ;10  ;1,56532e+03
8845  ;-3,87704  ;2,35531  ;9,68112  ;1,56423e+03
11417  ;-4,66599  ;6,83405  ;9,29381  ;1,56361e+03
32  ;-4  ;0  ;10  ;1,56265e+03
8573  ;-6,56039  ;3,51619  ;9,66714  ;1,56214e+03
6857  ;-4,10896  ;5,274  ;9,31184  ;1,56175e+03
3805  ;-4,73067  ;9,0572  ;9,64414  ;1,56164e+03
8181  ;-5,93844  ;5,31902  ;9,30632  ;1,55875e+03
3806  ;-5,23067  ;9,0572  ;9,64414  ;1,55860e+03
664  ;-5,13607  ;2,85784  ;9,33307  ;1,55618e+03
10938  ;-4,96669  ;6,45557  ;9,23222  ;1,55505e+03
7224  ;-5,04972  ;1,21657  ;9,56377  ;1,55382e+03
6860  ;-5,35776  ;6,11922  ;9,22398  ;1,55238e+03
431  ;-10  ;5  ;1,73205  ;1,55237e+03
271  ;-4  ;10  ;10  ;1,54585e+03
663  ;-5,60163  ;3,63504  ;9,28468  ;1,54577e+03
1363  ;-4,37891  ;6,36305  ;9,26076  ;1,54440e+03
1243  ;-4,95307  ;7,30504  ;9,32685  ;1,54374e+03
7407  ;-6,00351  ;4,61333  ;9,30578  ;1,53803e+03
6304  ;-6,324  ;7,2126  ;9,65763  ;1,53668e+03
5790  ;-3,5  ;8,26795  ;10  ;1,53386e+03
3804  ;-4,98067  ;9,49021  ;9,64414  ;1,53043e+03
10344  ;-5,25377  ;6,92657  ;9,26526  ;1,53016e+03
10892  ;-6,25  ;9,56699  ;10  ;1,52921e+03
7528  ;-4,13849  ;4,07771  ;9,27927  ;1,52906e+03
9360  ;-3,75  ;0,433013  ;10  ;1,52845e+03
5391  ;-3,34575  ;3,77422  ;9,64802  ;1,52578e+03
8985  ;-6,51433  ;1,73545  ;10  ;1,52485e+03
6889  ;-6,25  ;0,433013  ;10  ;1,52443e+03
9705  ;-6,34992  ;2,82861  ;9,63743  ;1,52442e+03
11175  ;-5,53218  ;7,18869  ;9,32106  ;1,52414e+03
6914  ;-6,51435  ;8,26455  ;10  ;1,52331e+03
11142  ;-3,62101  ;7,14826  ;9,64351  ;1,52244e+03
9023  ;-3,48565  ;1,73545  ;10  ;1,51870e+03
4813  ;-3,22236  ;4,96879  ;9,66008  ;1,51830e+03
5415  ;-3,64049  ;2,83468  ;9,62576  ;1,51578e+03
11455  ;-4,71337  ;2,46058  ;9,34765  ;1,51559e+03
11071  ;-3,33936  ;6,22479  ;9,63561  ;1,51479e+03
9749  ;-3,75  ;9,56699  ;10  ;1,50943e+03
6977  ;-6,2341  ;6,35899  ;9,34613  ;1,50233e+03
10695  ;-6,67237  ;6,19842  ;9,65001  ;1,50212e+03
7389  ;-5,95256  ;3,95698  ;9,28532  ;1,50180e+03
1733  ;-5,6504  ;2,93404  ;9,30396  ;1,50071e+03
9444  ;0  ;3,75  ;1,29904  ;1,49845e+03
9003  ;-5,37031  ;2,33057  ;9,35726  ;1,49668e+03
8871  ;-5,29972  ;0,783556  ;9,56377  ;1,49610e+03
9405  ;-10  ;6,25  ;1,29904  ;1,49510e+03
9098  ;-3,82525  ;8,07192  ;9,65806  ;1,49502e+03
9624  ;-4,73252  ;7,63697  ;9,32481  ;1,49348e+03
4989  ;-4,35752  ;7,12494  ;9,30693  ;1,49341e+03
7223  ;-4,79972  ;0,783556  ;9,56377  ;1,49300e+03
8868  ;-5,76563  ;0,862041  ;9,66023  ;1,48958e+03
10188  ;-6,94416  ;6,93601  ;10  ;1,48941e+03
9033  ;-4,0337  ;5,96765  ;9,2627  ;1,48717e+03
5607  ;-6,94753  ;3,06423  ;10  ;1,48604e+03
7380  ;-4,84467  ;4,44836  ;9,08843  ;1,48538e+03
11284  ;-3,06382  ;6,94394  ;10  ;1,48529e+03
8850  ;-6,2635  ;1,87485  ;9,68566  ;1,48228e+03
8847  ;-6,01563  ;1,29505  ;9,66023  ;1,48151e+03
9308  ;-5,86391  ;6,1192  ;9,24536  ;1,47947e+03
10872  ;-5,78697  ;9,05009  ;9,61943  ;1,47946e+03
5389  ;-3,05167  ;3,06479  ;10  ;1,47945e+03
10524  ;-3,76434  ;4,97389  ;9,27098  ;1,47829e+03
1384  ;-5,55448  ;6,5481  ;9,20368  ;1,47426e+03
7275  ;-5,16596  ;1,77902  ;9,31375  ;1,47241e+03
1404  ;-3,84018  ;4,37554  ;9,27732  ;1,47205e+03
1589  ;-6,17334  ;5,69031  ;9,28705  ;1,46827e+03
1734  ;-5,88318  ;3,32264  ;9,27977  ;1,46825e+03
8258  ;-6,03697  ;8,61708  ;9,61943  ;1,46741e+03
10515  ;-5,19634  ;7,74308  ;9,28092  ;1,46701e+03
9024  ;-3,70917  ;1,89888  ;9,68233  ;1,46530e+03
7405  ;-4,54509  ;4,75623  ;9,07145  ;1,46506e+03
10699  ;-5,04972  ;0,350543  ;9,56377  ;1,46483e+03
6915  ;-6,7827  ;7,807  ;10  ;1,46330e+03
8541  ;-4,07043  ;6,65394  ;9,27389  ;1,46300e+03
9204  ;-6,74274  ;5,61445  ;9,64352  ;1,46249e+03
9022  ;-3,21735  ;2,19306  ;10  ;1,45953e+03
9118  ;-3,25455  ;4,41417  ;9,63866  ;1,45843e+03
6848  ;-5,04977  ;4,63346  ;9,02945  ;1,45559e+03
10528  ;-4,12718  ;3,40098  ;9,26637  ;1,45472e+03
10508  ;0  ;2,72129  ;1,32446  ;1,45232e+03
10832  ;-3,24003  ;7,80982  ;10  ;1,45101e+03
6978  ;-5,83289  ;6,81022  ;9,25947  ;1,45049e+03
8860  ;-6,78189  ;2,19292  ;10  ;1,45012e+03
176  ;0  ;9,11759  ;1,39006  ;1,44991e+03
9099  ;-3,56528  ;7,61379  ;9,65806  ;1,44780e+03
7404  ;-4,75018  ;4,94134  ;9,01247  ;1,44627e+03
6917  ;-6,35155  ;8,06496  ;9,68861  ;1,44563e+03
10174  ;-3,92926  ;1,39187  ;9,58732  ;1,44470e+03
8178  ;-6,34969  ;5,00556  ;9,30947  ;1,44355e+03
7228  ;-4,70043  ;1,58051  ;9,32986  ;1,44179e+03
491  ;-3,5  ;9,13398  ;10  ;1,44101e+03
1165  ;-4,51196  ;7,96889  ;9,32276  ;1,44062e+03
8148  ;-5,5  ;9,56699  ;9,56699  ;1,44005e+03
10907  ;-3,82888  ;3,69881  ;9,26442  ;1,43878e+03
9495  ;-4,17926  ;0,958857  ;9,58732  ;1,43717e+03
7282  ;-4,5  ;0,433013  ;9,56699  ;1,43706e+03
1684  ;-5,11894  ;3,98682  ;9,02885  ;1,43694e+03
494  ;-6,5  ;9,13398  ;10  ;1,43691e+03
8869  ;-5,5  ;0,433013  ;9,56699  ;1,43581e+03
475  ;-3,5  ;0,866025  ;10  ;1,43572e+03
6839  ;-4,5  ;9,56699  ;9,56699  ;1,43343e+03
1530  ;-4,29067  ;2,06333  ;9,36224  ;1,43319e+03
10615  ;-6,67141  ;3,00008  ;9,66714  ;1,43288e+03
6765  ;-6,8079  ;4,37105  ;9,64298  ;1,43215e+03
10544  ;-4,97579  ;8,075  ;9,27887  ;1,43209e+03
1405  ;-5,60456  ;1,80329  ;9,38146  ;1,43137e+03
11365  ;-4,13696  ;7,45686  ;9,30489  ;1,43111e+03
479  ;-6,5  ;0,866025  ;10  ;1,43033e+03
