13:23; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: 
Referencia seleccionada: Todos
Elemento  ;X (mm)  ;Y (mm)  ;Z (mm)  ;EPSY
2279  ;-3,887  ;3,44677  ;0,679938  ;-3,81908e-07
5551  ;-4,59662  ;2,481  ;0,602981  ;-3,81912e-07
2651  ;-8,77784  ;8,08441  ;0,16285  ;-3,81916e-07
6636  ;-2,47657  ;7,53442  ;0,4771  ;-3,81952e-07
5520  ;-7,38214  ;5,59311  ;0,615907  ;-3,81973e-07
3531  ;-3,59398  ;3,84608  ;0,69031  ;-3,81983e-07
4978  ;-8,65645  ;8,48741  ;0,16285  ;-3,82501e-07
6825  ;-4,08732  ;7,64568  ;0,576875  ;-3,82522e-07
405  ;-8,39328  ;5,3973  ;0,430515  ;-3,82599e-07
6085  ;-6,4433  ;3,97567  ;0,707476  ;-3,82793e-07
7228  ;-7,57941  ;4,1186  ;0,596015  ;-3,82797e-07
6298  ;-4,2332  ;2,56633  ;0,618836  ;-3,82910e-07
4429  ;-8,60408  ;2,81645  ;0,324899  ;-3,83098e-07
5050  ;-5,39398  ;8,285  ;0,480939  ;-3,83186e-07
3542  ;-3,54387  ;3,50616  ;0,689963  ;-3,83526e-07
4381  ;-1,9067  ;8,79117  ;0,172904  ;-3,83686e-07
7134  ;-2,4084  ;2,50759  ;0,501675  ;-3,83698e-07
3050  ;-6,41386  ;3,61559  ;0,70598  ;-3,83929e-07
2818  ;-2,06426  ;2,96393  ;0,491625  ;-3,84121e-07
393  ;-1,50371  ;8,66978  ;0,172904  ;-3,84177e-07
6412  ;-6,98124  ;7,86695  ;0,514045  ;-3,84553e-07
6843  ;-4,26123  ;8,69244  ;0,359297  ;-3,84596e-07
524  ;-2,60837  ;6,61656  ;0,616711  ;-3,84952e-07
7011  ;-7,8373  ;1,54347  ;0,326596  ;-3,85077e-07
3687  ;-2,70665  ;8,61896  ;0,335302  ;-3,85301e-07
4857  ;-5,41204  ;7,33111  ;0,677392  ;-3,85544e-07
7235  ;-7,56829  ;5,91963  ;0,630457  ;-3,85613e-07
3732  ;-1,09459  ;6,99534  ;0,242796  ;-3,86072e-07
5285  ;-8,49816  ;7,83866  ;0,323856  ;-3,86582e-07
7116  ;-7,75033  ;8,50862  ;0,328281  ;-3,86659e-07
4672  ;-8,93029  ;6,0182  ;0,2604  ;-3,86689e-07
6772  ;-2,40574  ;5,93688  ;0,654975  ;-3,87477e-07
2900  ;-2,96068  ;1,09959  ;0,250687  ;-3,87497e-07
6070  ;-7,86014  ;5,04103  ;0,626479  ;-3,87542e-07
1342  ;-6,04426  ;1,0856  ;0,28945  ;-3,88041e-07
5585  ;-5,40899  ;4,4029  ;0,842393  ;-3,88211e-07
5575  ;-4,29923  ;4,50125  ;0,839262  ;-3,88380e-07
5332  ;-4,26893  ;5,45419  ;0,839903  ;-3,88456e-07
5906  ;-5,42516  ;5,65054  ;0,846656  ;-3,88645e-07
7003  ;-7,0258  ;1,76527  ;0,476574  ;-3,88654e-07
5540  ;-2,94798  ;7,91478  ;0,543978  ;-3,88723e-07
6627  ;-1,39449  ;7,2034  ;0,379851  ;-3,88806e-07
3960  ;-3,93024  ;1,69827  ;0,514008  ;-3,89144e-07
4238  ;-1,25156  ;1,34638  ;0,156442  ;-3,89182e-07
5155  ;-3,60984  ;8,85293  ;0,325284  ;-3,89271e-07
5588  ;-4,95814  ;3,86179  ;0,841086  ;-3,89403e-07
2262  ;-1,05383  ;3,96747  ;0,274104  ;-3,89445e-07
5079  ;-8,87084  ;2,00558  ;0,221484  ;-3,89790e-07
5752  ;-4,30562  ;5,78092  ;0,856661  ;-3,89954e-07
5571  ;-5,74589  ;4,42748  ;0,864794  ;-3,90118e-07
5580  ;-4,33771  ;4,16224  ;0,858222  ;-3,90141e-07
4976  ;-5,77177  ;5,61784  ;0,86762  ;-3,90382e-07
4920  ;-3,69205  ;4,77973  ;0,85026  ;-3,90643e-07
6767  ;-1,33955  ;6,26553  ;0,428051  ;-3,90976e-07
7130  ;-3,66501  ;5,12116  ;0,854861  ;-3,91015e-07
5471  ;-6,07089  ;5,04587  ;0,870881  ;-3,91016e-07
5159  ;-2,9824  ;9,28394  ;0,15158  ;-3,91264e-07
5856  ;-4,99803  ;3,43005  ;0,841229  ;-3,91308e-07
2228  ;-1,09638  ;8,06249  ;0,211104  ;-3,91363e-07
5196  ;-9,29109  ;7,01346  ;0,145563  ;-3,91365e-07
6560  ;-8,84959  ;3,68013  ;0,357732  ;-3,91500e-07
3810  ;-1,06634  ;2,97721  ;0,272396  ;-3,91522e-07
597  ;-2,13394  ;8,56178  ;0,356626  ;-3,91539e-07
4728  ;-7,01603  ;8,94502  ;0,269384  ;-3,91748e-07
6162  ;-1,33178  ;3,71681  ;0,431224  ;-3,91801e-07
5046  ;-4,90291  ;7,87114  ;0,67176  ;-3,91893e-07
1343  ;-6,27601  ;1,37414  ;0,446553  ;-3,92356e-07
6409  ;-5,79067  ;7,54764  ;0,729513  ;-3,92438e-07
6554  ;-8,58331  ;2,28544  ;0,375829  ;-3,92453e-07
4579  ;-1,34428  ;3,22655  ;0,429516  ;-3,92733e-07
5372  ;-8,8598  ;4,67993  ;0,379459  ;-3,92999e-07
